company_names,cars_names,engines,horsepower,cars_prices,fuel_types,seats
MERCEDES,BENZ GLE 63 S,V8,603.0,113000.0,Petrol,5
MERCEDES,BENZ S-CLASS S 500,V6,429.0,109000.0,Petrol,5
MERCEDES,BENZ E-CLASS E 450,V6,362.0,62000.0,Petrol,5
MERCEDES,BENZ CLS 450,V6,362.0,70000.0,Petrol,5
MERCEDES,BENZ GT 53,V6,429.0,99000.0,Petrol,5
MERCEDES,BENZ GLE 450,V6,362.0,63000.0,Petrol,5
MERCEDES,BENZ A-CLASS A 45 S,I4,416.0,53000.0,Petrol,5
MERCEDES,BENZ C-CLASS C 43,V6,402.0,52000.0,Petrol,5
MERCEDES,BENZ E-CLASS E 350,I4,255.0,49000.0,Petrol,5
MERCEDES,BENZ GLE 350,I4,255.0,53000.0,Petrol,5
MERCEDES,BENZ GLC 43,V6,402.0,54000.0,Petrol,5
MERCEDES,BENZ GLA 45,I4,382.0,48000.0,Petrol,5
MERCEDES,BENZ GLC 350,I4,255.0,46000.0,Petrol,5
MERCEDES,BENZ GLE 53,V6,429.0,71000.0,Petrol,5
MERCEDES,BENZ S-CLASS S 350,I4,255.0,90000.0,Petrol,5
MERCEDES,BENZ EQS 53,ELECTRIC MOTOR,751.0,102000.0,Electric,5
MERCEDES,BENZ MAYBACH S 680,V12,630.0,200000.0,Petrol,5
BMW,M5 CS,V8,627.0,142000.0,Petrol,5
BMW,M4 GTS,I6,493.0,133000.0,Petrol,4
BMW,M3 COMPETITION,I6,503.0,76000.0,Petrol,5
BMW,M2 CS,I6,444.0,83000.0,Petrol,4
BMW,X5 M COMPETITION,V8,523.0,114000.0,Petrol,5
BMW,X3 M COMPETITION,I6,503.0,69000.0,Petrol,5
BMW,M8 GRAN COUPE,V8,523.0,146000.0,Petrol,5
BMW,M850i DRIVE COUPE,V8,523.0,108000.0,Petrol,4
ROLLS ROYCE,DAWN BLACK BADGE VOLANTE,V12,563.0,398000.0,Petrol,4
ROLLS ROYCE,CULLINAN BLACK BADGE SUV,V12,563.0,381000.0,Petrol,5
ROLLS ROYCE,PHATOM TRANQUILITY,V12,563.0,475000.0,Petrol,5
ROLLS ROYCE,GHOST ZENITH,V12,563.0,335000.0,Petrol,5
ROLLS ROYCE,WRAITH EAGLE VIII,V12,623.0,349000.0,Petrol,4
ROLLS ROYCE,PHATOM ORCHID,V12,563.0,495000.0,Petrol,5
ROLLS ROYCE,GHOST AZURE,V12,563.0,355000.0,Petrol,5
ROLLS ROYCE,WRAITH KRYPTOS,V12,623.0,369000.0,Petrol,4
ROLLS ROYCE,DAWN SILVER BULLET,V12,563.0,418000.0,Petrol,4
ROLLS ROYCE,CULLINAN FUX ORANGE,V12,563.0,401000.0,Petrol,5
ROLLS ROYCE,PHANTOM CELESTIAL,V12,563.0,515000.0,Petrol,5
ROLLS ROYCE,GHOST MYSORE,V12,563.0,375000.0,Petrol,5
ROLLS ROYCE,WRAITH LUMINARY,V12,623.0,389000.0,Petrol,4
ROLLS ROYCE,DAWN BLACK BADGE ADAMAS,V12,563.0,439000.0,Petrol,4
ROLLS ROYCE,CULLINAN RED DIAMOND,V12,563.0,421000.0,Petrol,5
AUDI,R8 V10 PLUS,V10,610.0,194000.0,Petrol,2
